ecg (ms)	filtered ecg (ms2)
0.0756882	0.0000294
0.076909	0.0000281
0.0741622	0.0000269
0.0717207	0.0000259
0.0650064	0.0000249
0.0589025	0.000024
0.0512727	0.0000231
0.0473051	0.0000222
0.0418116	0.0000213
0.0378441	0.0000203
0.0320454	0.0000193
0.0280779	0.0000184
0.0228896	0.0000175
0.0231948	0.0000167
0.0241104	0.000016
0.0283831	0.0000154
0.0332662	0.0000149
0.0402857	0.0000144
0.0433376	0.0000139
0.0485259	0.0000134
0.0512727	0.0000129
0.053409	0.0000123
0.0573765	0.0000117
0.0613441	0.0000111
0.0656168	0.0000106
0.0668376	0.00001
0.0680584	0.0000095
0.0695843	0.000009
0.0689739	0.0000086
0.0683635	0.0000082
0.0686687	0.0000079
0.0665324	0.0000076
0.0647012	0.0000073
0.0604285	0.0000071
0.0573765	0.0000068
0.0531038	0.0000066
0.051883	0.0000064
0.0476103	0.0000063
0.0494415	0.0000062
0.0500519	0.0000061
0.0558506	0.000006
0.0589025	0.000006
0.0647012	0.000006
0.0653116	0.0000061
0.0650064	0.0000061
0.0613441	0.0000062
0.0576817	0.0000064
0.0494415	0.0000064
0.0427272	0.0000065
0.0332662	0.0000064
0.0286883	0.0000062
0.0238052	0.000006
0.0231948	0.0000057
0.0225844	0.0000054
0.0253311	0.0000051
0.0210584	0.0000047
0.0238052	0.0000044
0.0189221	0.0000042
0.0216688	0.0000039
0.020448	0.0000037
0.0201428	0.0000035
0.0170909	0.0000033
0.0216688	0.0000031
0.0216688	0.000003
0.0231948	0.0000029
0.0207532	0.0000028
0.021974	0.0000027
0.0189221	0.0000026
0.0213636	0.0000025
0.0207532	0.0000025
0.0247207	0.0000025
0.0241104	0.0000024
0.0277727	0.0000024
0.0244156	0.0000024
0.0302142	0.0000024
0.0283831	0.0000024
0.0323506	0.0000024
0.0283831	0.0000025
0.0280779	0.0000025
0.0244156	0.0000026
0.0231948	0.0000026
0.0164805	0.0000027
0.0155649	0.0000027
0.0097662	0.0000027
0.0091558	0.0000026
0.0067143	0.0000026
0.0085454	0.0000026
0.0070195	0.0000026
0.0088506	0.0000026
0.0064091	0.0000026
0.0091558	0.0000026
0.0061039	0.0000026
0.0070195	0.0000026
0.0054935	0.0000027
0.0051883	0.0000027
0.0003052	0.0000028
-0.0003052	0.0000028
-0.0048831	0.0000029
-0.0076299	0.0000029
-0.0106818	0.0000029
-0.0119026	0.000003
-0.0128182	0.000003
-0.0097662	0.0000031
-0.0097662	0.0000032
-0.0064091	0.0000032
-0.0042727	0.0000033
0	0.0000034
0.0048831	0.0000034
0.0067143	0.0000034
0.009461	0.0000035
0.0128182	0.0000035
0.0128182	0.0000035
0.0122078	0.0000036
0.0076299	0.0000036
0.0027467	0.0000037
-0.0042727	0.0000037
-0.0119026	0.0000036
-0.0161753	0.0000035
-0.020448	0.0000034
-0.0213636	0.0000032
-0.0216688	0.000003
-0.0186169	0.0000028
-0.0164805	0.0000027
-0.010987	0.0000025
-0.0122078	0.0000024
-0.0082402	0.0000023
-0.0097662	0.0000022
-0.0131234	0.0000021
-0.0164805	0.000002
-0.0180065	0.0000019
-0.021974	0.0000019
-0.0210584	0.0000018
-0.0198376	0.0000018
-0.0149545	0.0000018
-0.0103766	0.0000017
-0.0042727	0.0000017
-0.0030519	0.0000016
-0.0027467	0.0000016
-0.0057987	0.0000016
-0.0064091	0.0000016
-0.012513	0.0000015
-0.010987	0.0000015
-0.0134286	0.0000015
-0.0137337	0.0000015
-0.0149545	0.0000015
-0.0143441	0.0000015
-0.0180065	0.0000016
-0.0161753	0.0000016
-0.0155649	0.0000016
-0.0103766	0.0000016
-0.0091558	0.0000017
-0.0021364	0.0000017
-0.0051883	0.0000017
-0.0006104	0.0000018
-0.0057987	0.0000018
-0.0048831	0.0000019
-0.0085454	0.0000019
-0.0070195	0.000002
-0.0100714	0.0000021
-0.010987	0.0000021
-0.0177013	0.0000022
-0.0186169	0.0000022
-0.0247207	0.0000022
-0.021974	0.0000023
-0.0238052	0.0000023
-0.0189221	0.0000023
-0.0189221	0.0000024
-0.0155649	0.0000025
-0.0183117	0.0000025
-0.0201428	0.0000026
-0.0228896	0.0000028
-0.0222792	0.0000029
-0.0247207	0.000003
-0.0186169	0.0000032
-0.0186169	0.0000034
-0.0143441	0.0000035
-0.0140389	0.0000037
-0.0085454	0.0000038
-0.0057987	0.0000039
0.0006104	0.000004
0.0003052	0.0000041
0.0051883	0.0000042
0.0033571	0.0000043
0.0042727	0.0000044
-0.0003052	0.0000046
-0.0009156	0.0000048
-0.0073247	0.000005
-0.009461	0.0000052
-0.0128182	0.0000054
-0.0103766	0.0000057
-0.0088506	0.000006
-0.0042727	0.0000064
-0.0024416	0.0000068
0.0033571	0.0000072
0.0030519	0.0000076
0.0064091	0.000008
0.0061039	0.0000085
0.009461	0.000009
0.0082402	0.0000096
0.0122078	0.0000101
0.0112922	0.0000107
0.0152597	0.0000113
0.0161753	0.0000119
0.0225844	0.0000124
0.0274675	0.0000128
0.0357077	0.0000131
0.0445584	0.0000133
0.0576817	0.0000133
0.064396	0.0000132
0.0708051	0.0000131
0.0692791	0.0000131
0.0650064	0.0000131
0.0558506	0.0000131
0.0494415	0.0000133
0.0427272	0.0000134
0.0402857	0.0000136
0.0399805	0.0000138
0.042422	0.000014
0.0430324	0.0000142
0.0405909	0.0000144
0.0357077	0.0000146
0.0262467	0.0000147
0.0161753	0.0000146
0.0048831	0.0000145
-0.0030519	0.0000143
-0.0070195	0.000014
-0.0064091	0.0000138
-0.0039675	0.0000135
-0.0018312	0.0000134
0.0009156	0.0000133
0.0021364	0.0000133
0.0012208	0.0000134
0.0012208	0.0000136
-0.0021364	0.0000138
-0.0027467	0.0000141
-0.0030519	0.0000146
0.001526	0.0000151
0.0018312	0.0000157
0.0067143	0.0000163
0.0048831	0.0000171
0.0054935	0.000018
0.0006104	0.000019
-0.0024416	0.0000201
-0.0088506	0.0000213
-0.0115974	0.0000226
-0.0152597	0.0000241
-0.0146493	0.0000256
-0.0161753	0.0000273
-0.0103766	0.0000292
