0	-0.1016
0.0005	-0.1003
0.001	-0.0975
0.0015	-0.0942
0.002	-0.0928
0.0025	-0.0948
0.003	-0.0998
0.0035	-0.1056
0.004	-0.1091
0.0045	-0.1085
0.005	-0.1041
0.0055	-0.0975
0.006	-0.0913
0.0065	-0.0871
0.007	-0.0861
0.0075	-0.0874
0.008	-0.09
0.0085	-0.0926
0.009	-0.094
0.0095	-0.0942
0.01	-0.0935
0.0105	-0.0929
0.011	-0.0925
0.0115	-0.0922
0.012	-0.0914
0.0125	-0.0899
0.013	-0.0879
0.0135	-0.0861
0.014	-0.0848
0.0145	-0.0838
0.015	-0.0819
0.0155	-0.0787
0.016	-0.0743
0.0165	-0.07
0.017	-0.0679
0.0175	-0.0691
0.018	-0.0736
0.0185	-0.079
0.019	-0.083
0.0195	-0.0838
0.02	-0.0809
0.0205	-0.0749
0.021	-0.0668
0.0215	-0.0568
0.022	-0.0455
0.0225	-0.0348
0.023	-0.0269
0.0235	-0.0232
0.024	-0.0227
0.0245	-0.023
0.025	-0.0211
0.0255	-0.0162
0.026	-0.0096
0.0265	-0.0041
0.027	-0.002
0.0275	-0.0043
0.028	-0.011
0.0285	-0.0212
0.029	-0.0339
0.0295	-0.0478
0.03	-0.0623
0.0305	-0.0766
0.031	-0.0891
0.0315	-0.098
0.032	-0.101
0.0325	-0.0978
0.033	-0.0905
0.0335	-0.0829
0.034	-0.0784
0.0345	-0.0787
0.035	-0.0827
0.0355	-0.0885
0.036	-0.0943
0.0365	-0.1
0.037	-0.1054
0.0375	-0.1099
0.038	-0.1122
0.0385	-0.1114
0.039	-0.108
0.0395	-0.1036
0.04	-0.0998
0.0405	-0.0974
0.041	-0.0966
0.0415	-0.0972
0.042	-0.099
0.0425	-0.1007
0.043	-0.1012
0.0435	-0.0995
0.044	-0.096
0.0445	-0.0923
0.045	-0.0905
0.0455	-0.0913
0.046	-0.0942
0.0465	-0.0975
0.047	-0.0996
0.0475	-0.1001
0.048	-0.099
